aud,review,date,rate,neg,neu,pos,compound,,,,count,,
Matthew D,"A magnificently inventive comedy that never lets up on laughs or heart. Director Peyton Reed's superhero, science-fiction, crime comedy Ant-Man (2015) delivers one of Marvel's most heartfelt and funniest movies yet. I originally enjoyed Ant-Man the first time around the molecule, but upon revisiting Ant-Man, I realized it's easily the funniest Marvel movie and brilliantly written and crafted. Ant-Man is essentially a heist thriller mixed with a family drama and absurdist comedy all in the guise of a superhero blockbuster. Ant-Man must be seen to be believed as Reed makes you care about this loser cat burglar Scott Lang and the often joked about comic book superhero Ant-Man. I simply adored Ant-Man! Even though producers Kevin Feige and Stan Lee foolishly fired director Edgar Wright, Wright stayed on as producer, story lead, and head writer for Ant-Man. Peyton Reed proved to be a smart and formidable choice as director for Bring It On and Ant-Man are fabulous films in their own right. Reed's use of stellar realistic CGI aids his stunning visuals for Ant-Man's shrinking sequences as he uses all assorted ants and scenarios to creatively showing Ant-Man's physics, place, movements, strength, and inventive tactics. Russell Carpenter's cinematography is so playful and striking as Ant-Man is shown next to people and props for scale as to his size in these intimate close-up shots and daring wide shots that never cease to captivate and delight. You can never guess where Ant-Man will go next. It's an experience unlike anything Marvel have never dared to try before. I loved the bathtub water chase, breaking into a safe with nitrogen, the ant aided heist antics, to the innovative train collision final battle. You never question the physics and science of Ant-Man's shrinking, growing, impressive strength, and ant controlling. Editors Dan Lebental and Colby Parker Jr. get high marks for their piercingly sharp hard cuts from chaotic Ant-Man action visual mastery to cute edits back to regular reality size to juxtapose how silly Ant-Man's small conquests are in context. I love the hectic feel during the action, but the controlled editing with a really funny humor to the rapid cuts. Writers Edgar Wright, Joe Cornish, Adam McKay, and Paul Rudd really delight with their hilarious absurdist jokes, surreal sci-fi concepts, creative fight sequences using Ant-Man's tiny size to his advantage, and genuine character drama that feels actually sweet. Ant-Man will make you laugh, cry, and gasp with joy at these cute ants and their multitude of uses. I am floored that Wright, Cornish, McKay, and Rudd make Ant-Man feel real and relatable to the point you are actively rooting for him in every scene. Scott Lang is an everyman of likable personality, bad luck, easy going charm thanks to Paul Rudd's endearing performance. Writers Paul Rudd, Edgar Wright, Adam McKay, and Joe Cornish create and adapt high sci-fi concepts right out of the old Stan Lee and Jack Kirby's classic Ant-Man comic books. I appreciate their care and humor. Paul Rudd is phenomenally endearing as idiotic cat burglar and brilliant mind Scott Lang. He's actually cool and funny as Ant-Man. I had a smile on my face the entire time Rudd was delivering his goofy lines. Rudd is instantly one of my favorite Avengers after Ant-Man's display of empathetic humanity, good nature, outrageous humor, wicked shrinking powers, cute ant mind control, and creative combat. Paul Rudd is a natural actor with perfect charm and high charisma. What an inspired casting choice. Paul Rudd embodies the selfless heroism, intellectual solutions, and pleasant manner of Ant-Man. Michael Douglas is touching and intelligent as the genius inventor and original Ant-Man himself Dr. Hank Pym. His neat Pym Particle and quantum manipulation is fascinating and Douglas sells you on every crazy concept with his heavy gravitas and iconic charms. Evangeline Lilly is truly gorgeous and intriguing as Hope van Dyne with her awesome fight choreography and mean girl acting. Lilly carries herself with sheer confidence in her skills and with subtle grace over Hope's conflicted feelings for her father Hank Pym. She had real romantic chemistry with Paul Rudd that keeps you enthralled by their quirky relationship. I cannot wait to see her as Wasp alongside Paul Rudd's wonderful Ant-Man. Judy Greer is adorable and tender in her very raw emotional performance as Scott Lang's disappointed former girlfriend Maggie. She's so pretty and engaging as Maggie that she should be the obvious replacement for Evangeline Lilly as The Wasp if Marvel decides to oust Lilly for her ludicrous, selfish, and unsafe anti-vax sentiments. Bobby Cannavale's police officer Paxton is pretty serious, but he eases up on the dumb, intruding cop bit as he genuinely just cares for his wife and daughter. Corey Stoll is entertaining as the raving, egomaniac, scientist, and capitalist businessman Darren Cross who becomes the scary shrinking villain Yellowjacket. Anthony Mackie has a great sense of humor and humility to not only cameo as Falcon in Ant-Man, but also get his backside handed to him by such a tiny and ridiculous opponent. Abby Ryder Fortson is funny and cute as Paul Rudd's sweet daughter Cassie. Michael Peña is a riot as he babbles on about nothing and narrates his random meetings for heists as the hilarious side character Luis. David Dastmalchian's funny Russian accent and nervous hacking as Kurt is fun. T.I.'s casual observations and deadpan delivery is very funny as Dave. Hayley Atwell is still lovely and moral as Agent Peggy Carter. John Slattery just is Howard Stark to me. Gregg Turkington's cameo is absolutely a five bags of popcorn level of acting precision and hilarity. Anna Akana is jaw-droppingly beautiful and truly funny in her cameo as a hot writer. Stan Lee got a laugh out of me as the bartender in Luis' same story flashback. Spongebob's voice actor Tom Kenny even cameos as the voice of Cassie's ugly rabbit plushie. Shepherd Frankel's production design lays out these charming little sets both in the room and for the visual effects artists to play around with during Ant-Man's wild power displays. The art directors and set decorators did a great job making the homes warm and look lived in and the Pym science building look sterile and cold. Composer Christophe Beck provides a lively and fun score for Ant-Man. I love how modern it sounded. Sammy Sheldon, Wendy M. Craig, and Danny Molaschi's costume designs are wonderful for Ant-Man, Yellowjacket, and The Wasp's designs. Everyone's regular clothes look natural and fitted for them. All the make-up looked great too! In all, Ant-Man does not feel 117 minutes long at nearly two hours, but closer to like watching Paul Rudd and his friends joke around for 20 minutes. Ant-Man is worth watching and is a new favorite upper tier Marvel movie for me.",31-Jan-22,4,0.074,0.616,0.31,0.9999,,,,,,
Aaron A,Paul Rudd y Evangeline Lilly+Antman y Wasp= Diversión²,14-Feb-21,2.5,0,1,0,0,,,,,,
Chris H,Highly enjoyable and entertaining.,24-Jan-22,4,0,0.239,0.761,0.7474,,,,,,
Morghen V,This movie is incredibly fun,23-Jan-22,4,0,0.527,0.473,0.5563,,,,,,
Charlie W,Great marvel comedy-action,18-Jan-22,4,0,0.328,0.672,0.6249,,,,,,
Arturas P,"Amazing movie good performances from all main cast especially Evangeline Lilly,Michael Douglas and Paul Rudd, unique and creative action scenes, pretty good and meaningful character developement and great character arcs fun entertaining time all around. 9/10",17-Jan-22,4,0,0.488,0.512,0.9805,,,,,,
Alexander H,Good movie. Not too much to say about it. They did a good job of introducing Ant-Man.,14-Jan-22,4,0,0.707,0.293,0.7003,,,,,,
Jonathan R,Solid Marvel movie...mainly based on the performance on the reliable Paul rudd,14-Jan-22,4,0,0.873,0.127,0.1531,,,,,,
Jenaro V,"entretenida y graciosa, a veces rosa lo absurdo en cuanto a lo cómico y no parece una película sobre un superhéroe, aun así se siente fresca y disfrutable.",13-Jan-22,4,0.091,0.909,0,-0.296,,,,,,
Wiz D,A great new idea with a new intresting chatacter in a good story. A very pleasent suprise.,12-Jan-22,4,0,0.611,0.389,0.7906,,,,,,
Rick W,"Ant Man is a really nice movie. The story is fun and easy to follow, without losing any details or excitement. Paul Rudd fits the character Scott Lang very well and I think Ant Man is an great addition to the MCU.",12-Jan-22,4.5,0,0.609,0.391,0.9646,,,,,,
Gus M,"Es la película que más me gusta del MCU!!!! Porque es una película que es más que una simple historia de ficción. Aprendo lecciones sobre la importancia de no rendirme a pesar de los problemas, la importancia de ser generoso, por ejemplo ayudando a otros, que es una de las cosas que nos hacen felices en la vida. Esta peli y Ant-Man and The Wasp son el corazón del MCU. E",11-Jan-22,4.5,0.049,0.951,0,-0.5216,,,,,,
Max A,"Ant-Man is a family comedy with great visual effects and featuring The Yellow Jacket, a spectacular villan. Definitively a worth-watching movie.",9-Jan-22,4.5,0,0.708,0.292,0.765,,,,,,
Pancho G,Who made me laugh here have a name: Luis (the Michael Peña character). 3/10,5-Jan-22,4.5,0,0.769,0.231,0.5574,,,,,,
Jordan S,A fun-sized adventure that left me surprisingly wanting to see more Ant-Man. This fun origin story mashes with the fun of a film like 'Honey I Shrunk The Kids'. Marvel did a wonderful job turning a hero no one really knew about into something special.,4-Jan-22,4.5,0.038,0.541,0.421,0.968,,,,,,
Penny S,"It's a better-than-average heist film, when these films aren't really even viable in the 21st century, and somehow also about superheroes kinda? Could've been worse, Paul Rudd and Michael Pena make the film.",2-Jan-22,4.5,0.084,0.916,0,-0.4284,,,,,,
Razvan T,"The movie itself was good. I like Paul Rudd as Ant-Man a lot. His character is good, the storyline might be a bit off at times, but overall a pleasant movie.",31-Dec-21,4.5,0,0.695,0.305,0.8442,,,,,,
Ron B,Good movie to watch....,29-Dec-21,4.5,0,0.508,0.492,0.4404,,,,,,
Dark C,"Such a good family movie, surprisingly good writing with some good visuals nothing over the top but a worthy hero we dads can all relate to. Such a good introduction to the MCU ride we all needed",28-Dec-21,4.5,0.027,0.549,0.423,0.9569,,,,,,
Aaron B,Probably the most underrated movie of the MCU,5-Apr-22,2.5,0,1,0,0,,,,,,
Bradley W,"Ant-Man might not be the most complex Marvel Cinematic Universe movie but is Definity the most fun and engaging of them all. The movie takes absurdity to the highest level possible, and has fun doing it, leading to a movie that is entertaining no matter how many times you watch it. The chemistry between Scott and Hank is well written and displayed throughout the film, that their relationship and understanding of each other grows. There are no leaps of faith in the actual writing either, the only downside of this movie would be the villain Darren Cross comes off as completely generic, and as a result scene with him end up bringing down the movie. Ant-Man is one of the few Marvel movies that can stand on its own. For an Avengers rewatch this movie can be skipped as it doesn't introduce too much to the Marvel Cinematic Universe, but I highly recommend watching it again anyway.",16-Dec-21,4,0.071,0.775,0.154,0.9461,,,,,,
Aidan B,"The cast carry this movie into becoming a fun and worthy (albeit forgettable) entry in the MCU. ""Ant-Man"" serves as a fun film to just watch, however, it doesn't offer much to the MCU. It seems more of a small side-quest rather than a grand, large scale and high stake adventure.",15-Nov-21,4,0,0.739,0.261,0.93,,,,,,
Liam B,Ant-Man's first outing was a lot of fun. Paul Rudd was a great casting decision.,15-Nov-21,4,0,0.598,0.402,0.8126,,,,,,
Rob T,"Funny. Ant-Man may not sound like a movie you'll want to rush out and see, but if you haven't seen it yet, its frequent humor and interesting story make it a movie worth seeing. One of the most underrated MCU movies.",11-Nov-21,4,0.034,0.714,0.252,0.844,,,,,,
Jonathan D,"The charm of Paul Rudd makes this movie an absolute delight. It's nice to have a superhero movie with smaller stakes every once in a while. This movie delivers on some small scale fun, no pun intended despite its formulaicness.",7-Nov-21,4,0.046,0.689,0.265,0.8885,,,,,,
Ahmad M,"Visualizes an expansion of the MCU, bringing about a greatly enticing imagination.",31-Mar-22,5,0,1,0,0,,,,,,
Maximiliano L,"The movie is good, entertaining and with good quality and the truth is if it complies with marvel's qualities and you can enjoy it a lot.",4-Nov-21,4,0,0.585,0.415,0.9217,,,,,,
Michael M,Delightful film that makes small-stakes feel like a joy ride to watch.,29-Oct-21,4,0,0.442,0.558,0.8779,,,,,,
Ben B,"A boring and dull origin super hero movie that falls once again from the generic mcu formula. The film is directionless and has studio fingerprints all over. Sloppy villain and writing, but Paul Rudd's performance adds meaning.",28-Oct-21,4,0.14,0.746,0.114,-0.0129,,,,,,
Adhyan d,"It is a shame this sucked so much because Paul Rudd as always is fantastic. But the inconsistency in the powers to the point they are glaring plot holes, the lack of character motivations that make any sense, the extremely boring forced love interest, Rudd being some acclaimed super thief that fails to successfully steal anything on or off screen, the SUPER annoying side characters, bland bad guy, convoluted plot, techno babble that they didn't even try to make sound consistent, and more, there is really nothing good to say about this steaming pile. And of course it ends like all Marvel origin stories do, the hero must fight the bad guy with the same powers who for no reason is better at using them despite having them for less time for the first half of the fight until it is time for them to lose in a 100% CGI slugfest with no blood or weight to the action.",12-Oct-21,4,0.26,0.565,0.175,-0.9484,,,,,,
Anthony L,An entertaining movie with a bad villain and some weak characterization.,6-Oct-21,4,0.529,0.317,0.153,-0.7964,,,,,,
James R,"Paul Rudd's charisma gives this movie a significant boost, but there's the nagging feeling that Reed doesn't do what Wright likely could have.",1-Oct-21,4,0.134,0.678,0.188,-0.1406,,,,,,
Robert P,The holes in the plot were infuriating!,29-Sep-21,4,0.381,0.619,0,-0.5707,,,,,,
Strummer R,The First Ant-Man by Marvel is a true hit!!!!,27-Sep-21,4,0,0.638,0.362,0.6083,,,,,,
Marco B,"Along with Avengers: Age of Ultron, this is a film I have never understood the hate on. It has some nostalgia with me, and I love Edgar Wright. Shame he didn't direct this. I'd recommend it 9/10",26-Sep-21,4,0.072,0.701,0.227,0.7648,,,,,,
Lerey R,"Ant-Man is a decent enough film to introduce the pint-sized character. Though it contains an original idea and script, the ending is where it gets a bit messy and where we realize how small scale (excuse the pun) this picture is in the MCU. The film is very insular with a plot that seemed more complex than it needed to be, though if Hank Pym had just sent his daughter in to steal the Yellow Jacket prototype at the beginning of the movie, it would have only been a five minute short. It would have also been cool if the writers had just decided to start the movie with Ant-Man working with the Wasp, but we got that in the disappointing sequel.",16-Sep-21,4,0.065,0.908,0.027,-0.705,,,,,,
sebastian H,such a great movie. I didnt expect much but was rewarded big time,7-Sep-21,4,0,0.568,0.432,0.7814,,,,,,
Jet C,One of my favorite MCU films!,6-Sep-21,4,0,0.603,0.397,0.5093,,,,,,
Olu D,Felt like a pretty stupid plot to me. Paul Rudd is OK but I've watched it twice and still don't get why most people enjoy it,1-Sep-21,4,0.067,0.611,0.322,0.8092,,,,,,
Burak Berke S,"Well-executed despite the physics-defying superpowers and minimal action. Picking Scott Lang to be the Ant-Man was a poor choice. Such a unique final fight, yet the villain is very poorly written and is basically Obadiah Stane with the same powers as the superhero.",30-Aug-21,4,0.197,0.803,0,-0.8519,,,,,,
Dennis F,"Is it a heist film? Is it a superhero movie, Is it a comedy? All I know is that Marvel proves themselves worthy once again of making the smallest characters a blast to watch.",26-Aug-21,4,0,0.824,0.176,0.6966,,,,,,
Joshua H,A fun enjoyable heist movie that is a nice fit into the MCU.,25-Aug-21,4,0,0.378,0.622,0.8885,,,,,,
Max W,#16/25 Best Moment: Humor with the ants,25-Aug-21,4,0,0.442,0.558,0.743,,,,,,
Liam R,This Fun-Sized Film is a nice addition to the MCU.,23-Aug-21,4,0,0.741,0.259,0.4215,,,,,,
Pedro Miguel D,"Ant Man is sometimes stupid and confusing, but manages to deliver a good source story with excellent direction from Peyton Reed. (6.5/10)",16-Aug-21,4,0.124,0.575,0.301,0.8047,,,,,,
THOMAS D,"This was a lot better than I was expecting. I was expecting the dullest marvel movie ever made(his superpower is how small he is?!) but this was very entertaining, and I even laughed out loud a few times too.",14-Aug-21,4,0.044,0.708,0.248,0.8652,,,,,,
DonJuan V,"Annually I review the whole MARVEL saga, when I arrive at this film I am very happy. Unlike the other superheroes of the MCU, Ant-man doesn't take himself so seriously, he doesn't believe much in himself, he's not a braggart, he's an ordinary person who happens to be a superhero for a series of events, and we like that. very very much. Michael Peña (Luis) is wonderful, the interpretation of him is exceptional. An acting professional who makes you understand how even a secondary character can become the protagonist if well interpreted. The film is exciting, funny and original, there are some little things that could have been done better, (such as the character of ""Ghost girl"" which was not very thorough) but overall it is a film that I always look at with great pleasure .",12-Aug-21,5,0.023,0.794,0.183,0.9691,,,,,,
Daniel S,"This movie is one of the best Marvel movies. If you like funny movies with a lot of action and charisma, this is an absolute must-see.",10-Aug-21,5,0,0.696,0.304,0.8625,,,,,,
DuZ 2,"62/100 it's not bad , but not the best work from marvel",9-Aug-21,5,0.294,0.582,0.124,-0.5613,,,,,,
Arty F,"Idk why Antman is so underrated, brilliant film, plenty of humour and action packed into one film. Well worth the watch",31-Jul-21,5,0.049,0.56,0.391,0.8683,,,,,,
Rita W,I like superhero movies but couldn't really get into this one.,30-Jul-21,5,0,0.837,0.163,0.1901,,,,,,
Jonathan K,"Ant-Man is a fun movie with a good cast and some genuinely solid CGI, as well as some fun action sequences, but overall it's too light and breezy for its own good. One might argue that Spider Man: Homecoming was too light as well, but its narrative was able to amp up the tension for the moments that had consequences, but this movie feels too much like a bunch of people were having fun. It's hardly the worst MCU film, but it's easily one of the least memorable; some you remember more because of how bad some elements were, but this simply just doesn't have enough to fully commit to memory long-term. The climax involving the assistance of ants and using toys as intense ballistics is quite entertaining, however. If you want a breezy watch after a long day, Ant-Man has got you covered.",29-Jul-21,5,0.092,0.696,0.212,0.9413,,,,,,
Yuv L,"A fun and smart film serving as a great marvel solo story, Ant-Man has a fun and entertaining plot that it follows with Paul Rudd's incredible performance, having you cheer at all the action sequences and MCU connections that are showcased. There are great visuals and soundtracks with fun and creative scenes that will have you laughing and clutching yourself into a ball while the storyline and fights unwind.",26-Jul-21,5,0.03,0.601,0.369,0.984,,,,,,
Michael P,"Fun movie. Average for the MCU, but still really entertaining.",23-Jul-21,5,0,0.554,0.446,0.7535,,,,,,
Ira G,"One of the best Marvel films ive seen. Family friendly, humorous and easily likeable hero. Ant-Man is a cool superhero.",22-Jul-21,5,0,0.36,0.64,0.9652,,,,,,
Andy S,"I see Edgar Wright's humor is well in effect. When Luis said, ""Well my girl left me, my mom died, and my father got deported… But I got the van!"" I love the setup to this movie, it feels a lot like Spider-Man 1 & 2. I'm digging Michael Douglas' character. Seems like an actual good rich guy. I see this whole yellow jacket project going south really fast. Bro! He turned him into jelly, wiped him up and flushed him down the toilet! Holy shit that's some evil shit. That's so awesome the way they're able to control ants on that scale through thought and the device behind their ear. The humor in this movie is top-tier and the special effects and CGI are incredible. Paul Rudd is perfect for this role. He really brings the laughs with his impeccable comedic timing. T.I. was surprisingly funny as well, he's got the chops for it. All the micro visuals were incredibly done. I've never felt bad for an ant dying until I saw Antony get blown away. RIP. Where'd they get that technology that blew up the lab?! That was most definitely an implosion. The ideas in this movie were brilliant! So clever. That scene when they're fighting inside the suitcase and The Cure song plays was poetic, beautiful. Dude those molecular visuals at the end were incredible. Reminded me of the visuals in Doctor Strange when he's going through the different dimensions. You can see Edgar Wright's humor all over this movie and I love it. Especially with the quick jump cuts whenever Luis is explaining how he got the information for the job, reminds me of Shaun of the Dead. Super fun and super entertaining with some brilliant ideas. I'd watch this again in a heartbeat.",22-Jul-21,5,0.081,0.622,0.298,0.9982,,,,,,
Cailan D,"After recovering from a shaky scene after the credits, Ant-Man becomes a mostly enjoyable film, led by a strong and charming performance from Paul Rudd. His charisma and chemistry with the other characters carries a lot of scenes and injects some funny moments into the film. This is a (fittingly) small scale heist movie with big repercussions that actually works, and shows that Marvel is expanding its comfort zone in terms of genres. The action is decent but it doesn't quite live up to the standards set by other MCU installments. Anthony Mackie is nicely worked into the story and is a welcome appearance in the film, and his presence allows the movie to be connected to the Avengers franchise without spending too much time on the connection. With that said, the writing and directing are both a bit awkward at times which disrupts the flow of some scenes and just makes them feel a bit weird. The actors do their best to overcome this when it happens and are successful at times, and Peyton Reed does his best as well. Without Paul Rudd, this movie doesn't work, since he brings, as mentioned above, charm and charisma to this movie that it badly needed and allows it work in many instances where it otherwise wouldn't. While Ant-Man doesn't set any gold standards for future Marvel movies, it does way better than it could've and is an interesting piece of genre deviation for the MCU.",21-Jul-21,4.5,0.035,0.784,0.181,0.9916,,,,,,
Captain H,"Funny, enjoyable, exciting, Ant-Man.",18-Jul-21,4.5,0,0.1,0.9,0.8402,,,,,,
michael l,"Maybe not the best MCU film, but a really good film in general, good action, funny, you don't have to be a comic fan to get it.",15-Jul-21,4.5,0.058,0.532,0.409,0.9348,,,,,,
Nathan D,"Ant-Man is described as a heist movie, yet the only heist happening in this movie is the robbery of any uniqueness and depth. This 2015 Marvel Studios movie tells the story of Scott Long who just gets out of prison only to get thrown into becoming a superhero who can become the size of an ant. This may sound like an amazing adventure, but in the end, it just becomes a to-do list that checks all the boxes without doing anything out of the box. This is very disappointing as this movie comes after some of the more intriguing and exciting Marvel movies. What I think this movie lacks the most is depth. Every plot aspect in Ant-Man feels glossed over with no real effect to the overall story. Evangeline Lilly's character, Hope Pym, is poorly written and does hardly anything except complain and whine about not being able to wear the suit. In the post-credits, when she does get the Wasp suit, it feels unearned as her character really didn't do anything unique or outstanding to earn it. This is all disappointing because Lilly does a great job in this movie and has some great acting scenes despite her poorly written character. Speaking of the writing, this movie makes a lot of weird choices. The romance between Scott and Hope feels like it came out of nowhere and that the writers just put it in the movie so they could check off the romance box on their list. The comedy in this film is also a little rough as I think some parts take away from the heart of this movie. For instance, when Hank was retelling the story of how Janet went into the Quantum Realm, it felt impactful and was very touching. Then Scott had to ruin the moment with a joke which wasn't funny. Another major thing that bothered me in this movie was the categorization of this film as a heist movie. This is one of the worst heists I have ever seen in any form of entertainment. The montage where Scott, Hank, and Hope discuss the plan is bland and doesn't have that anticipation factor that gets you excited for the plan to be executed. The final heist at Cross Technologies feels so slow with barely any movement or exciting things happening that I don't think you could call this a heist. It doesn't help that the editing is poorly done with quick scene changes that should have gone on longer just so a bad joke could take up that screen time. Plus, the VFX is a bit choppy at times which can take you out of the zone the movie is trying to put you in. These problems could have been caused by the delayed production, multiple rewrites, and it is done 4 days before its world premiere. Despite all the negative aspects of the movie, there are some things to like. For example, I think every actor in this movie does a good job with the roles they are in. Rudd does an awesome job and you can never go wrong with a Michael Douglas performance. I also enjoyed the relationship between Scott and his daughter, Cassie. It felt genuine and made me smile every time the two interacted. Plus, the ""stepfather is the new dad"" trope you see in similar movies was not played up here which was nice to see. Even with these good things in play, I don't think it's enough to help save this movie from all the mistakes it makes. It doesn't help that Peyton Reed doesn't do anything to help elevate this character in any major way. I always wonder what Edgar Wright's vision was before he left due to the differences he and Marvel had. Even though Wright's movie probably wouldn't have fit in the MCU, I am almost positive that it would have been way better than Ant-Man's shallow and bland storytelling. Read reviews like this at postcreditreviews.com",13-Jul-21,4.5,0.093,0.743,0.164,0.9961,,,,,,
Milad T,Paul Rudd manages to carry a film with forgettable villains and a decent plot.,10-Jul-21,4.5,0.286,0.714,0,-0.6597,,,,,,
French Film C,A lighthearted masterpiece! I love every single aspect about this movie.,5-Jul-21,4.5,0,0.345,0.655,0.908,,,,,,
JOHN U,"A really fun time with great performances, good action, unique set pieces, awesome characters and a solid plot. Pure entertainment. Pure Marvel fun.",1-Jul-21,4.5,0,0.382,0.618,0.9708,,,,,,
arturo B,yes it moves along but you need a receptive imagination to really watch it with any enthusiasm but suppose it is Marvel but for me difficult to enjoy,29-Jun-21,4.5,0.09,0.634,0.276,0.775,,,,,,
huyqiwd s,A waste of time do not watch,25-Jun-21,4.5,0.359,0.641,0,-0.4215,,,,,,
Jude E,"When I first watched this movie, I expected it to be horrible because of how bizarre the concept of an ""Ant-Man"" concept was to me. But this film manages to be action-packed and hilarious with great emotional moments sprinkled throughout. This is definitely one of my favorite Marvel films.",22-Jun-21,4.5,0.062,0.639,0.298,0.9497,,,,,,
Christin C,"Loved it. Watched it with the kids last night, ""You'll like this one, Mom."" And I did. So much so that we teed up the next movie (Ant Man and Wasp) the next night. Funny, action, good relationship between father and daughter, and within blended family. Loved it.",21-Jun-21,5,0,0.723,0.277,0.9442,,,,,,
Cheryl R,"How is this movie so good? Oh right, ""written by Edgar Wright"".",4-Jun-21,5,0,0.746,0.254,0.5777,,,,,,
Jerry S,"Ant-Man was good. Paul Rudd and Evangeline Lilly are great together and of course Michael Douglass as Dr. Hank Pym was just perfect casting. But by far the best part of this movie was Louise. I don't know but he is always such a joy to watch. Michael Panea did such a good job to not just improv but also just being a good comic relief. I really need a scene between him, Thor, Peter Quill, and Agatha Harkness. The only problem that I have with this movie is that the science talk is pretty boring. It does take some time to get to the fun stuff of the film, but the science talk does take a tad bit of the fun out of it. While it was important to the story at least I just wish that they could've made it a little more entertaining. However thankfully the second film does a much better job. I really like this movie I know a lot of people really wanted Edgar Wright treatment on the film and me personally I would like to see that as well but honestly I'm satisfied on what we got. 8/10",30-May-21,5,0.027,0.65,0.324,0.9973,,,,,,
Andy S,"Ant-Man is a okay movie. What I really like about this movie is the performance of the actors in this. Not only does the main cast deliver, but also the supporting cast does a phenomenal job. But the story itself is okay for me, but has some awful moments in it. All in all I give this movie a 3/5 stars.",27-May-21,5,0.062,0.79,0.148,0.5494,,,,,,
Xiebe S,"Fun movie, Paul Rudd really shines in this role.",22-May-21,5,0,0.708,0.292,0.5106,,,,,,
Brian H,Another good introduction to the character,14-May-21,5,0,0.633,0.367,0.4404,,,,,,
